DE,UKR,freq_DE,freq_UKR,ratio,log_diff,cosine_similarity
Band,бант,2972729,18864,157.63,5.0584,0.15065861715545945
Kader,кадр,199033,556507,0.357,-1.03,0.1499648716684173
Divis,дефіс,1063,9108,0.1167,-2.147,0.147386712751894
Jäger,єгер,330900,10484,31.56,3.451,0.13624007384074466
Ranzen,ранець,10290,9463,1.087,0.083,0.12493746243601249
Büro,бюро,940962,319841,2.9412,1.0792,0.10931509978419801
Büstenhalter,бюстгальтер,3830,25775,0.1486,-1.9051,
Computer,комп’ютер,940698,907309,1.0368,0.0361,
Deponent,депонент,62,5057,0.0123,-4.398,
Immunität,імунітет,50441,237952,0.212,-1.551,
Kopiatur,копіатор,9,0,,,
Objekt,об'єкт,1178830,2824471,0.417,-0.875,
Präparat,препарат,120424,1522844,0.0791,-2.536,
Premierminister,прем’єр-міністр,115103,0,,,
Pullover,пуловер,80896,4818,16.79,2.82,
Subjekt,суб’єкт,156969,0,,,
