DE,UKR,freq_DE,freq_UKR,ratio,log_diff,cosine_similarity
Magnat,магнат,9453,38187,0.247,-1.399,0.5202606389419504
Podium,подіум,84242,32118,2.622,0.964,0.5198947305591666
Parkett,паркет,95820,52999,1.808,0.593,0.5194712454890837
Karat,карат,22050,10868,2.028,0.707,0.518101907896893
Schrift,шрифт,798296,106408,7.502,2.015,0.5179296523553324
Personal,персонал,846253,690175,1.226,0.204,0.5147314026187516
Stahl,сталь,319690,139690,2.288,0.827,0.5141755099753084
Text,текст,3055254,1700869,1.796,0.586,0.5129494665437336
Taxi,таксі,203285,147779,1.376,0.319,0.5128715317393818
Diamant,діамант,109878,58918,1.865,0.624,0.5128704022221819
Talent,талант,463695,399370,1.161,0.149,0.5125194375876215
Psalm,псалом,113329,34365,3.297,1.193,0.511323830928767
Drucker,друкар,214286,10165,21.09,3.047,0.5090119260115947
Front,фронт,412477,566896,0.727,-0.319,0.5083388817245246
Moment,момент,1947095,2342306,0.831,-0.185,0.5063006663483042
Typ,тип,1003217,2517762,0.398,-0.922,0.5042251996979912
Lyzeum,ліцей,9121,383528,0.0238,-3.737,0.49916295504674285
Idiot,ідіот,75682,28481,2.657,0.977,0.4985847567235647
Chor,хор,411465,249075,1.6519,0.5014,0.4983445899125251
Pascha,паша,21985,23411,0.939,-0.063,0.49526432869613196
Advokat,адвокат,14533,531988,0.0273,-3.6023,0.4944949000901631
Akt,акт,230728,1497640,0.154,-1.8717,0.49442665295387134
Tabu,табу,108935,25022,4.352,1.471,0.49269832704853184
Apparat,апарат,83812,983754,0.0852,-2.4628,0.4925947270358232
Akkord,акорд,56173,39876,1.4093,0.3427,0.49092969688930826
Muskel,мускул,323504,3342,96.8,4.572,0.4902004449989998
Projekt,проєкт,4948609,902400,5.485,1.704,0.48826866304520106
Ventil,вентиль,129294,25570,5.056,1.62,0.4875232270810094
Radikal,радикал,400760,67142,5.966,1.786,0.4872872930184508
Zeder,кедр,13597,20586,0.66,-0.415,0.48198851076930155
Zentrum,центр,1390829,5470567,0.254,-1.372,0.47939812992393854
Autograph,автограф,10308,45728,0.2254,-1.4898,0.47537284776088884
Fracht,фрахт,46815,6130,7.64,2.034,0.47515285266717344
Bord,борт,530045,184647,2.8713,1.0555,0.47389493419426143
Zickzack,зигзаг,9654,7899,1.222,0.2,0.4738639942476566
Ton,тон,829753,359762,2.306,0.836,0.47281646529165333
Zink,цинк,97098,89673,1.083,0.08,0.47165916076322734
Vampir,вампір,144246,27995,5.153,1.639,0.46896794516618273
Meter,метр,2501292,1067185,2.343,0.852,0.4684824275227918
Puder,пудра,32278,44352,0.727,-0.319,0.46699363328496235
Amateur,аматор,105266,58002,1.815,0.596,0.4652093740537105
Transport,транспорт,590296,1071819,0.551,-0.596,0.46420844712787607
Allianz,альянс,239990,176495,1.3602,0.3077,0.4621397454336804
Schnur,шнур,94871,65020,1.458,0.377,0.4621032999897693
Strich,штрих,234572,43422,5.402,1.686,0.4614330224160903
Fauna,фауна,95535,63612,1.502,0.406,0.4607490247924761
Zentimeter,сантиметр,373926,143772,2.602,0.957,0.46012653289207817
Äquator,екватор,30390,27082,1.122,0.1152,0.4517418800146007
Sockel,цоколь,128801,40985,3.143,1.145,0.4496407282851098
Sockel,цоколь,128801,40985,3.143,,0.4496407282851098
Abiturient,абітурієнт,35463,153350,0.2313,-1.4664,0.4472047265816382
Nerv,нерв,296208,190648,1.553,0.44,0.4460503842446102
Cousin,кузен,71862,7053,10.19,2.322,0.4458931621976946
Plastik,пластик,203691,183204,1.112,0.106,0.44460473811422396
Kollektiv,колектив,294026,1343363,0.219,-1.518,0.4431913782212363
Absatz,абзац,965448,202992,4.7563,1.5585,0.4352470936852288
Charter,чартер,19152,7309,2.62,0.9631,0.4351373183282053
Akzent,акцент,212546,230841,0.9208,-0.0827,0.43308788514931545
Fach,фах,728376,122704,5.936,1.78,0.43306565204504915
Schnitzel,шніцель,56635,2768,20.46,3.017,0.43266006106964633
Lektor,лектор,45646,49310,0.926,-0.0767,0.43058716846365125
Universität,університет,2542516,3273895,0.777,-0.252,0.42827942068616554
Stempel,штемпель,146964,8274,17.76,2.876,0.42426081982314
Autobus,автобус,12494,578013,0.0216,-3.8354,0.4221284993720046
Toast,тост,32858,27728,1.185,0.17,0.42140555360935916
Tour,тур,1340141,69699,19.23,2.955,0.4212627009008299
Abonnent,абонент,81246,133400,0.6089,-0.4971,0.42089248642532917
Akzept,акцепт,1287,12320,0.1044,-2.2591,0.4180319292524292
Perlmutter,перламутр,1349,6308,0.214,-1.543,0.4174666589136332
Depot,депо,154892,54524,2.841,1.044,0.4149200666720208
Journal,журнал,190444,907309,0.21,-1.56,0.4142166166671001
Zebra,зебра,57548,16765,3.431,1.233,0.40881761902946523
Kaktus,кактус,29477,23894,1.233,0.209,0.3981691095290765
Galopp,галоп,24120,3525,6.84,1.923,0.393730487079732
Konvent,конвент,48783,7963,6.123,1.811,0.39343197173911987
Schema,схема,133424,1010900,0.132,-2.026,0.3927367691961067
Scheck,чек,58452,123943,0.471,-0.753,0.39098420562200764
Index,індекс,293848,304766,0.964,-0.0367,0.3845672050508825
Druck,друк,1528626,357745,4.273,1.452,0.38398185326803985
Sturm,штурм,413896,105628,3.919,1.366,0.38339319712032716
Abonnement,абонемент,95590,48040,1.9897,0.6877,0.37645764600661746
Tandem,тандем,37085,33687,1.101,0.096,0.3762682906230914
Kachel,кахель,30788,15831,1.945,0.666,0.3733828014641028
Insult,інсульт,1316,113079,0.0116,-4.454,0.37160922080597275
Punkt,пункт,4074351,2329498,1.748,0.559,0.3708129788838747
Nutria,нутрія,2328,3617,0.643,-0.442,0.3615169602590383
Wall,вал,158927,207041,0.768,-0.264,0.36081623391178164
Zobel,соболь,9485,15088,0.628,-0.465,0.36080246037587027
Ballon,балон,73095,72636,1.0063,0.0063,0.36075128124266803
Jubilar,ювіляр,33651,32658,1.03,0.0296,0.35585270864094964
Lepra,лепра,8516,1191,7.15,1.967,0.35390628639906657
Komma,кома,70889,243982,0.29,-1.238,0.3519962802344765
Hasard,азарт,691,25064,0.0276,-3.59,0.35137954369653085
Valuta,валюта,2577,503237,0.0051,-5.278,0.35048455104538645
Krach,крах,36660,62190,0.589,-0.53,0.34699302098916085
Makler,маклер,120573,4160,28.99,3.367,0.3408393886157305
Pult,пульт,26458,111444,0.237,-1.44,0.3326886099505083
Attestation,атестація,668,164170,0.0041,-5.497,0.3249151897134234
Lexikon,лексикон,168024,16933,9.92,2.295,0.3187761998614396
Straus,страус,4411,14464,0.305,-1.187,0.3166936909251536
Kram,крам,63306,11302,5.6,1.722,0.3084115202421636
Stab,штаб,164964,413837,0.398,-0.922,0.3030597272499886
Mus,мус,29302,13814,2.121,0.752,0.296044611397902
Grund,ґрунт,5995954,617831,9.705,2.272,0.29230632307219745
Präsident,президент,1295671,3411662,0.379,-0.97,0.29226455038123467
Ära,ера,137887,126275,1.0919,0.088,0.29057228551388264
Autorität,авторитет,164319,219582,0.7486,-0.2893,0.2881202591855745
Provisor,провізор,1910,15835,0.12,-2.12,0.2835416294162134
Stift,штифт,281727,12500,22.54,3.114,0.2769123738497646
Borg,борг,47364,602976,0.0785,-2.5454,0.24266783594523889
Rapport,рапорт,14097,32970,0.427,-0.852,0.24197354096280238
Stand,стан,1897582,4697875,0.404,-0.907,0.21660425096528424
Spieß,спис,64076,53619,1.195,0.178,0.21186561182228855
Termin,термін,1589204,2297730,0.692,-0.368,0.20826352418004415
Präsent,презент,281273,30672,9.171,2.216,0.20006828713613822
Krämer,крамар,51142,11092,4.61,1.529,0.1559700843358483
